"What is the make, model, and year of your vehicle",How old are you,Which smartphone OS do you primarily use,How often do you use phone mirroring in the car,Which infotainment setup does your car have,Which screen layout does your car have,Why do you prefer your current infotainment setup,Which map provider do you prefer while driving,Why do you prefer the above selected map provider,Which music/media platforms do you use most,Do you use an in-car app store Apps provided by Auto OEM,Which in-car apps do you use the most at present,Boot-up time,Interface & responsiveness,Bluetooth pairing,Wired / wireless mirroring connection,Voice recognition,Navigation search & accuracy,Notification overload,SIM connectivity,Screen glare / sunlight visibility,Feature inconsistency between car and app,"For most in-car digital tasks, do you prefer built-in apps or smartphone mirroring",Which of these features do you expect as a standard offering in your next car,Do you actively use the OEM companion app to interact with your vehicle remotely,How do you usually respond when a connected vehicle feature fails while driving,"Based on the UI designs shown below, which connected car app experience would you prefer using daily",What could be the main reasons of not using the OEM mobile app more often,How comfortable are you with over-the-air vehicle software updates,What is your preferred frequency for vehicle OTA (Over-the-Air) updates,AI assistant with contextual / predictive awareness,Smart home integration (control home devices from car),Seamless phone-to-car handoff (continue exactly where you left off),AR navigation / Heads-Up Display (HUD),Rear-seat passenger entertainment,Full multilingual / regional language interface,Does the quality of infotainment and connected features influence your car purchase decision,Which pricing model feels most acceptable for connected car features,"Basic connected pack OTA updates, Wi-Fi hotspot, live vehicle diagnostics","Safety & security pack Emergency SOS, stolen vehicle tracking, geo-fence & speed alerts","Navigation & maps pack Real-time traffic updates, offline maps, EV charging station routing","Remote convenience pack Remote climate control, lock/unlock, remote engine start, vehicle locator","Premium digital pack  AI assistant, smart home, AR HUD","Basic connected pack  OTA updates, Wi-Fi hotspot, live vehicle diagnostics","Safety & security pack  Emergency SOS, stolen vehicle tracking, geo-fence & speed alerts","Navigation & maps pack Real-time traffic updates, offline maps, EV charging station routing2","Remote convenience pack  Remote climate control, lock/unlock, remote engine start, vehicle locator","Premium digital pack  AI assistant, smart home, AR HUD2",What would increase your trust in connected vehicle services the most_Better feature usefulness and value,What would increase your trust in connected vehicle services the most_Clear consent and data transparency,What would increase your trust in connected vehicle services the most_Easy data deletion and account control options,What would increase your trust in connected vehicle services the most_Feature not available,What would increase your trust in connected vehicle services the most_I don't trust,What would increase your trust in connected vehicle services the most_Independent security certifications,What would increase your trust in connected vehicle services the most_Strong brand reputation,What would increase your trust in connected vehicle services the most_Strong privacy controls,What would increase your trust in connected vehicle services the most_Transparent pricing and subscription policies,Which features are missing from your current car that you actively wish you had_AR / HUD navigation,Which features are missing from your current car that you actively wish you had_Auto parking,Which features are missing from your current car that you actively wish you had_Better offline maps,Which features are missing from your current car that you actively wish you had_Better regional language support,Which features are missing from your current car that you actively wish you had_Digital key,Which features are missing from your current car that you actively wish you had_EV charging navigation,Which features are missing from your current car that you actively wish you had_Faster / smoother voice assistant,Which features are missing from your current car that you actively wish you had_In-car payments,Which features are missing from your current car that you actively wish you had_Multi-user profiles,Which features are missing from your current car that you actively wish you had_Phone-to-car seamless handoff,Which features are missing from your current car that you actively wish you had_Rear-seat screens,Which features are missing from your current car that you actively wish you had_Remote AC / lock via app,Which features are missing from your current car that you actively wish you had_Smart home integration,Which features are missing from your current car that you actively wish you had_Wireless Android Auto / CarPlay,Which interaction methods do you prefer the most while using your infotainment system_Gesture,Which interaction methods do you prefer the most while using your infotainment system_Physical controls,Which interaction methods do you prefer the most while using your infotainment system_Touch,Which interaction methods do you prefer the most while using your infotainment system_Voice
Skoda Kylaq Automatic 2025,51+,Android ,Sometimes,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Reliability;,Google Maps,Accuracy;,YouTube Music;FM / radio;,Never,Navigation apps;Music apps;Messaging apps;,1,1,1,1,1,1,1,1,1,1,Built-in apps,Voice assistant;Vehicle health monitoring;EV charging integration;SOS / emergency services;Remote vehicle controls via app;Digital key;,Not installed ,Switch to my phone,Me4U: Mahindra eSUV for You;,Not enough useful features ;,Very comfortable,Monthly,1,1,1,5,1,1,Somewhat - it matters but isn't the main driver,"Complementary initially, then subscription",,,,,,"₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1
Toyota,51+,Android ,Very often,Native OEM(OS) + Android Auto,Single screen,Better maps;Voice;Better UI/UX;,Google Maps,Traffic data;,JioSaavn;,Never,Navigation apps;EV charging apps;Music apps;,5,5,5,5,5,5,5,5,5,5,Built-in apps,Remote vehicle controls via app;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;,Not installed ,Contact customer care,Nio ET7;Hyundai Bluelink;,Poor performance ;,Neutral,Only when needed,5,5,5,5,5,5,Yes - it's a primary factor,"Complementary initially, then subscription",,,,,,₹0 - Not willing to pay,₹0 - Not willing to pay,"₹1,000-₹3,000",₹0 - Not willing to pay,"₹1,000-₹3,000",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Tata Harrier 2025,36-40,iOS ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Speed;Apps;Voice;Familiarity;,Google Maps,Local road coverage;Accuracy;,YouTube Music;Apple Music;FM / radio;,Never,None;Music apps;Messaging apps;,2,2,1,1,3,2,1,1,1,1,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Remote vehicle controls via app;Digital key;Multi-user profiles;EV charging integration;SOS / emergency services;,Not installed ,Restart the infotainment system,Me4U: Mahindra eSUV for You;,Poor performance ;Not enough useful features ;Phone apps are easier ;,Very comfortable,Monthly,5,3,4,3,3,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹10k-15k,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"Maruti Brezza, 2020",36-40,iOS ,Often,Phone mirroring via Apple CarPlay,Single screen,Apps;Familiarity;Better maps;Reliability;Better UI/UX;,Google Maps,Accuracy;Traffic data;UI;POI search;Voice input;Local road coverage;,Spotify;Apple Music;Amazon Music;FM / radio;YouTube Music;,Never,Navigation apps;Music apps;EV charging apps;,2,2,4,2,3,2,4,4,4,4,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Remote vehicle controls via app;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,"Yes, regularly ",Contact customer care,Me4U: Mahindra eSUV for You;Rivian;Nio ET7;MyGenesis;Hyundai Bluelink;My BMW;Tata Motors iRA 2.0;Zeekr;,Not user friendly;Not enough useful features ;Poor performance ;Phone apps are easier ;Privacy concerns ;Irrelevant notifications ;I did not know the app had those features ;,Comfortable,Only when needed,5,1,5,5,5,5,Yes - it's a primary factor,"Complementary initially, then subscription",,,,,,₹0 - Not willing to pay,"₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0
"Skoda Kushaq, 2024",31 - 35,Android ,Never,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Speed;Familiarity;,Google Maps,familiarity (easy to use) ;Accuracy;,Spotify;Amazon Music;,Never,Navigation apps;Music apps;None;,1,1,1,1,3,1,1,1,1,1,Built-in apps,OTA software updates;Voice assistant;Wireless mirroring (AA / CarPlay);In-car app store;Vehicle health monitoring;SOS / emergency services;Remote vehicle controls via app;,"Yes, regularly ",either ask my passenger to handle or switch to my phone or restart the system,Tata Motors iRA 2.0;Me4U: Mahindra eSUV for You;,Not enough useful features ;,Very comfortable,Only when needed,5,4,3,3,1,3,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,₹15k-20k,₹10k-15k,,,,,,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
Nissan Magnite - 2023,36-40,Android ,Often,Android Automotive (built -in Google),Dual screen,Apps;Better maps;Better music / media;,Google Maps,Accuracy;Traffic data;Local road coverage;,YouTube Music;,Rarely,Navigation apps;Music apps;Messaging apps;,4,4,3,3,3,3,4,4,4,4,Built-in apps,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Digital key;,Installed but never use ,Retry the feature,Me4U: Mahindra eSUV for You;,Irrelevant notifications ;I did not know the app had those features ;,Comfortable,Only when needed,4,4,4,5,2,2,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Maritu Suzuki S Corss 2021,41-50,Both equally ,Very often,Only Phone mirroring via Android Auto / Apple Car Play,Single screen,Variety of Apps;Video Paly while driving;,Google Maps,Live Traffic data;Accuracy & Local roads coverage;,Spotify;Amazon Music;,Sometimes,"Navigation apps;Music apps;Messaging apps;Calling, ;Browser / Internet;",5,5,5,5,5,5,5,5,5,5,Both,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;SOS / emergency services;In-car app store;,Not installed ,Restart the infotainment system,My BMW;,I did not know the app had those features ;,Very comfortable,Quarterly,5,5,5,5,5,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1
MG ZS EV 2024 & Audi Q7 2019,51+,iOS ,Very often,Native OEM(OS) + Apple CarPlay,Single screen,Voice Support;UI/UX;,Google Maps,Live Traffic data;POI search;Speed limit & Toll Info;,Spotify;Apple Music;,Never,Music apps;Navigation apps;EV charging apps;Browser / Internet;Parking apps;,4,3,3,5,5,4,5,5,3,4,Both,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Digital key;Vehicle health monitoring;EV charging integration;SOS / emergency services;,Installed but never use ,Switch to my phone,Me4U: Mahindra eSUV for You;,Not enough useful features ;,Very comfortable,Quarterly,4,5,5,4,5,2,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹10k-15k,₹0 - Not willing to pay,₹10k-15k,₹0 - Not willing to pay,₹10k-15k,,,,,,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0
"Skoda Slavia , 2022",41-50,Android ,Sometimes,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Voice Support;Better maps;Reliability & Speed;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;,Spotify;,Never,Navigation apps;News apps;Messaging apps;Music apps;Parking apps;,1,1,1,1,1,1,1,1,1,1,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;,Not installed ,Use physical controls,MyGenesis;,Poor performance ;Not enough useful features ;login issues;Irrelevant notifications ;,Very comfortable,Half-yearly,5,3,5,4,4,4,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,₹0 - Not willing to pay,₹10k-15k,,,,,,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
Vento Highline TSI 1.0 L (2021),41-50,iOS ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,UI/UX;Reliability & Speed;Voice Support;Better maps;Better music / media;,Google Maps,Accuracy & Local roads coverage;Speed limit & Toll Info;Live Traffic data;Google asking while driving Collusion or Fog status vai sending alert on screem.;,YouTube Music;,Never,Navigation apps;Music apps;Messaging apps;News apps;Parking apps;,4,4,4,2,4,2,2,2,4,4,Both,SOS / emergency services;EV charging integration;Vehicle health monitoring;Digital key;Navigation (Maps);Voice assistant;Wireless mirroring (AA / CarPlay);optional 360 Camera Display in Infotainments system if screen is big.;,Installed but rarely use ,Use physical controls,Kia Connect;,Poor performance ;Not enough useful features ;login issues;,Very comfortable,Only when needed,5,5,5,1,2,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹10k-15k,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,,,,,,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0
